name:es_aa,name:es_var,type_var,2014
Botsuana,Es...Average residential electricity prices,ind,0.0
Botsuana,Es...Average commercial electricity prices,ind,0.0
Botsuana,Es...Average industrial electricity prices,ind,0.0
Botsuana,Es...Average kerosene prices,ind,0.058
Botsuana,Es...Average diesel prices,ind,0.041
Botsuana,Es...Growth rate of power demand,ind,0.041
Botsuana,Es...Electrification rate,ind,0.007
Botsuana,Es...Population using solid fuels for cooking,ind,0.019
Botsuana,Financiamiento y Inversión,param,0.302
Botsuana,Es...Clean energy investments,ind,0.0
Botsuana,Es...Growth rate of clean energy investments,ind,0.0
Botsuana,Es...Asset finance investments,ind,0.0
Botsuana,Es...Corporate finance investments,ind,0.0
Botsuana,Es...VC/PE investments,ind,0.0
Botsuana,"Es...Loans, grants, grant programs",ind,0.0
Botsuana,Es...Local investments,ind,0.0
Botsuana,Es...Number of Green MFI,ind,0.0
Botsuana,Es...Green micro-loans,ind,0.0
Botsuana,Es...Green micro-borrowers,ind,0.0
Botsuana,Es...Average cost of green micro debt,ind,0.0
Botsuana,Es...Average cost of debt,ind,0.0
Botsuana,Es...Swap rate,ind,0.0
Botsuana,Cadenas de valor,param,1.099
Botsuana,Es...Financial institutions in clean energy,ind,0.0
Botsuana,Es...Value chains by clean energy sector,ind,0.0
Botsuana,Es...Distributed clean energy value chains by sector,ind,0.0
Botsuana,Es...Clean energy service providers,ind,0.0
Botsuana,Es...Distributed clean energy service providers,ind,0.0
Botsuana,Gestión de GEI,param,0.393
Botsuana,Es...Carbon offsets historical activity,ind,0.0
Botsuana,Es...CDM risk,ind,0.0
Botsuana,Es...Carbon offsets future potential,ind,0.0
Botsuana,Es...GHG emissions reduction target,ind,0.0
Botsuana,Es...GHG country registry,ind,0.0
Botsuana,Es...GHG market-based instruments,ind,0.0
Botsuana,Es...PMR & NAMA,ind,0.0
Botsuana,Es...Voluntary GHG reporting by corporates,ind,0.0
Botsuana,Es...Investor pressure – PRI signatories,ind,0.0
Botsuana,Es...Corporate energy efficiency initiatives,ind,0.0
Botsuana,Es...Corporate emission reduction policies,ind,0.0
Botsuana,Es...Capacity building – env. business training,ind,0.0
Botsuana,Es...Capacity building – think tanks,ind,0.0
Botsuana,Es...Global rank,rank,48.0
Botsuana,Es...Regional rank,rank,19.0
Belice,Puntaje,score,0.977
Belice,Marco Propicio,param,1.304
Belice,Es...Clean energy policies,ind,0.049
Belice,Es...Power sector structure,ind,0.052
Belice,Es...Distributed energy regulatory framework,ind,0.0
Belice,Es...Clean energy rural electrification,ind,0.0
Belice,Es...Energy access policies,ind,0.0
Belice,Es...Policy barriers,ind,0.004
Belice,Es...Clean energy installed capacity,ind,0.158
Belice,Es...Growth rate of installed capacity,ind,0.0
Belice,Es...Clean energy electricity generation,ind,0.16
Belice,Es...Growth rate of electricity generation,ind,0.021
Belice,Es...Biofuels production,ind,0.0
Belice,Es...Growth rate biofuels production,ind,0.0
Belice,Es...Average electricity spot prices,ind,0.0
